Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
 1592.72,     566.9,  47.2     ,4.7417e-004, 1.71,  0.11%,   1.42,    4293.5,  50,  ,1195547.125,,,Tl208 (D.E.),1592.54,1584.15,1597.03,,,Quardratic
 1620.74,     499.1,  39.3     ,4.1748e-004, 1.85,  0.11%,   1.23,    3298.9,  51,  ,1195547.125,,,Bi212,1620.50,1613.29,1628.88,,,Linear
 1630.51,     462.8,  38.8     ,3.8714e-004, 1.70,  0.10%,   1.42,    2714.0,  52,  ,1195547.125,,,Ac228,1630.63,1625.07,1637.7,,,Linear
 1661.11,     212.6,  35.3     ,1.7784e-004, 2.08,  0.13%,   1.56,    3515.0,  53,  ,1195547.125,,,Bi214,1661.28,1651.26,1670.92,,,Linear
 1729.53,     699.8,  43.1     ,5.8532e-004, 1.96,  0.11%,   0.73,    2771.8,  54,  ,1195547.125,,,Bi214,1729.59,1723.11,1736.3,,,Linear
 1764.62,    3455.5,  67.8     ,2.8903e-003, 2.06,  0.12%,   0.89,    5583.1,  55,  ,1195547.125,,,Bi214,1764.49,1757.37,1772.1,,,Linear
 1847.44,     483.4,  36.3     ,4.0431e-004, 2.05,  0.11%,   1.47,    3648.1,  56,  ,1195547.125,,,Bi214,1847.42,1832.94,1855.99,,,Linear
 2103.35,    1253.5,  50.5     ,1.0485e-003, 3.22,  0.15%,   1.06,    3714.9,  57,  ,1195547.125,,,Tl208 (S.E.),2103.53,2092.62,2114.99,,,Linear
 2118.56,     339.9,  35.2     ,2.8427e-004, 2.65,  0.13%,   0.89,    2455.0,  58,  ,1195547.125,,,Bi214,2118.55,2108.89,2128.55,,,Linear
 2203.84,    1069.4,  44.2     ,8.9445e-004, 2.07,  0.09%,   0.51,    2978.3,  59,  ,1195547.125,,,Bi214,2204.21,2197.72,2214,,,Linear
 2447.82,     307.6,  40.0     ,2.5732e-004, 2.50,  0.10%,   0.66,    1545.3,  60,  ,1195547.125,,,Bi214,2447.86,2443.22,2458.13,,,Linear
 2614.78,    8883.1,  96.9     ,7.4302e-003, 2.54,  0.10%,   1.66,    9842.3,  61,  ,1195547.125,,,Tl208,2614.53,2605.31,2624.99,,,Linear
