Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
 1621.13,     470.5,  40.0     ,3.9353e-004, 1.90,  0.12%,   2.49,    3266.6,  51,  ,1195547.125,,,Bi212,1620.50,1613.29,1628.88,,,Linear
 1630.87,     443.3,  40.8     ,3.7076e-004, 1.81,  0.11%,   3.08,    2691.0,  52,  ,1195547.125,,,Ac228,1630.63,1625.07,1637.7,,,Linear
 1661.55,     198.0,  33.4     ,1.6561e-004, 1.93,  0.12%,   1.64,    3521.5,  53,  ,1195547.125,,,Bi214,1661.28,1651.26,1670.92,,,Linear
 1729.95,     685.0,  44.6     ,5.7296e-004, 2.12,  0.12%,   2.61,    2771.7,  54,  ,1195547.125,,,Bi214,1729.59,1723.11,1736.3,,,Linear
 1765.06,    3255.2,  66.3     ,2.7228e-003, 2.07,  0.12%,  13.14,    5597.9,  55,  ,1195547.125,,,Bi214,1764.49,1757.37,1772.1,,,Linear
 1847.88,     454.5,  35.8     ,3.8013e-004, 1.95,  0.11%,   2.16,    3651.4,  56,  ,1195547.125,,,Bi214,1847.42,1832.94,1855.99,,,Linear
 2104.03,    1250.3,  50.3     ,1.0458e-003, 3.22,  0.15%,   1.00,    3719.2,  57,  ,1195547.125,,,Tl208 (S.E.),2103.53,2092.62,2114.99,,,Linear
 2119.12,     338.8,  35.2     ,2.8337e-004, 2.66,  0.13%,   0.91,    2458.3,  58,  ,1195547.125,,,Bi214,2118.55,2108.89,2128.55,,,Linear
 2204.28,    1027.5,  43.9     ,8.5945e-004, 2.13,  0.10%,   2.98,    2963.8,  59,  ,1195547.125,,,Bi214,2204.21,2197.72,2214,,,Linear
 2448.35,     324.2,  38.9     ,2.7116e-004, 2.68,  0.11%,   0.75,    1552.3,  60,  ,1195547.125,,,Bi214,2447.86,2443.22,2458.13,,,Linear
 2615.32,    8797.2,  96.5     ,7.3583e-003, 2.55,  0.10%,   5.47,    9845.6,  61,  ,1195547.125,,,Tl208,2614.53,2605.31,2624.99,,,Linear
