Start Time, Mon Feb 21 2022 15:08:06 GMT+0000 (GMT)
Energy calibration,  Offset:-0.8944737974038629, Slope: 0.6777130311079765
Live Time (s), 1204602.5
Real Time (s), 1209121.82
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
167, 112.2836023976282149, 3030
168, 112.9613154287361994, 3162
169, 113.6390284598441696, 3167
170, 114.3167414909521540, 3121
171, 114.9944545220601242, 3231
172, 115.6721675531681086, 3280
173, 116.3498805842760788, 3283
174, 117.0275936153840490, 3337
175, 117.7053066464920335, 3306
176, 118.3830196776000037, 3200
177, 119.0607327087079881, 3274
178, 119.7384457398159583, 3200
179, 120.4161587709239427, 3361
180, 121.0938718020319129, 3276
181, 121.7715848331398973, 3611
182, 122.4492978642478676, 3437
183, 123.1270108953558378, 3393
184, 123.8047239264638222, 3357
185, 124.4824369575717924, 3426
186, 125.1601499886797768, 3425
187, 125.8378630197877470, 3346
188, 126.5155760508957314, 3479
189, 127.1932890820037017, 3494
190, 127.8710021131116719, 3615
191, 128.5487151442196705, 3427
