Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
 1630.53,     462.8,  38.8     ,3.8714e-004, 1.70,  0.10%,   1.42,    2714.0,  57,  ,1195547.125,,,Ac228,1630.63,1625.1,1637.73,,,Linear
 1661.14,     212.6,  35.3     ,1.7784e-004, 2.08,  0.13%,   1.56,    3515.0,  58,  ,1195547.125,,,Bi214,1661.28,1651.29,1670.95,,,Linear
 1729.56,     699.8,  43.1     ,5.8532e-004, 1.96,  0.11%,   0.73,    2771.8,  59,  ,1195547.125,,,Bi214,1729.59,1723.13,1736.32,,,Linear
 1764.65,    3455.5,  67.8     ,2.8903e-003, 2.06,  0.12%,   0.89,    5583.1,  60,  ,1195547.125,,,Bi214,1764.49,1757.39,1772.13,,,Linear
 1847.47,     483.4,  36.3     ,4.0431e-004, 2.05,  0.11%,   1.47,    3648.1,  61,  ,1195547.125,,,Bi214,1847.42,1832.97,1856.02,,,Linear
 2103.38,    1253.5,  50.5     ,1.0485e-003, 3.22,  0.15%,   1.06,    3714.9,  62,  ,1195547.125,,,Tl208 (S.E.),2103.53,2092.66,2115.03,,,Linear
 2118.59,     339.9,  35.2     ,2.8427e-004, 2.65,  0.13%,   0.89,    2455.0,  63,  ,1195547.125,,,Bi214,2118.55,2108.93,2128.59,,,Linear
 2203.88,    1069.4,  44.2     ,8.9445e-004, 2.07,  0.09%,   0.51,    2978.3,  64,  ,1195547.125,,,Bi214,2204.21,2197.75,2214.03,,,Linear
 2447.86,     307.6,  40.0     ,2.5732e-004, 2.50,  0.10%,   0.66,    1545.3,  65,  ,1195547.125,,,Bi214,2447.86,2443.26,2458.17,,,Linear
 2614.82,    8883.1,  96.9     ,7.4302e-003, 2.54,  0.10%,   1.66,    9842.3,  66,  ,1195547.125,,,Tl208,2614.53,2605.36,2625.03,,,Linear
